battery_type,battery_id,thermo_type,battery_formula,working_ion,num_steps,max_voltage_step,last_updated,framework,framework_formula,elements,nelements,chemsys,formula_anonymous,warnings,formula_charge,formula_discharge,max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,fracA_charge,fracA_discharge,stability_charge,stability_discharge,id_charge,id_discharge,host_structure,adj_pairs,material_ids,entries_composition_summary,electrode_object,fields_not_requested,density_charge,density_discharge,volume_charge,volume_discharge,band_gap_charge,band_gap_discharge,energy_above_hull_charge,energy_above_hull_discharge,ordering_charge,ordering_discharge,density_atomic_charge,density_atomic_discharge
,mp-1238779_Rb,,Rb0-0.5CrS2,Rb,1,0.0,2022-06-28 03:50:00,Cr1 S2,CrS2,"[Element Cr, Element S]",2,Cr-S,AB2,[],CrS2,Rb(CrS2)2,0.536655706973221,0.6637129874999979,84.35566267582743,273.2496615212838,55.987948887115486,181.3593491816545,0.0,0.14285714285714285,0.029461006666667622,0.30645487714285746,mp-1442954,mp-1238779,"Full Formula (Cr4 S8)
Reduced Formula: CrS2
abc   :   6.563354   6.563354   6.563353
angles:  62.711296  62.711296  62.711299
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cr    0.5       0         0.5          2.375
  1  Cr    0         0.5       0.5          2.375
  2  Cr    0.5       0.5       0.5          2.111
  3  Cr    0.5       0.5       0            2.375
  4  S     0.743236  0.254029  0.254029    -0.167
  5  S     0.254029  0.743236  0.254029    -0.167
  6  S     0.254029  0.254029  0.743236    -0.167
  7  S     0.250777  0.250777  0.250777    -0.192
  8  S     0.745971  0.256764  0.745971    -0.167
  9  S     0.256764  0.745971  0.745971    -0.167
 10  S     0.749223  0.749223  0.749223    -0.192
 11  S     0.745971  0.745971  0.256764    -0.167","[InsertionVoltagePairDoc(formula_charge='CrS2', formula_discharge='Rb(CrS2)2', max_delta_volume=0.536655706973221, average_voltage=0.6637129874999979, capacity_grav=84.35566267582743, capacity_vol=273.2496615212838, energy_grav=55.987948887115486, energy_vol=181.3593491816545, fracA_charge=0.0, fracA_discharge=0.14285714285714285, stability_charge=0.029461006666667622, stability_discharge=0.30645487714285746, id_charge=MPID(mp-1442954), id_discharge=MPID(mp-1238779))]","[MPID(mp-1442954), MPID(mp-1238779), MPID(mp-1407236)]","all_formulas=['CrS2', 'Rb(CrS2)2'] all_chemsys=['Cr-S', 'Cr-Rb-S'] all_formula_anonymous=['AB2C4', 'AB2'] all_elements=[Element Rb, Element Cr, Element S] all_composition_reduced={'Cr': [1.0, 2.0], 'S': [2.0, 4.0], 'Rb': [1.0]}","InsertionElectrode with endpoints at CrS2 and Rb(CrS2)2
Avg. volt. = 0.6637129874999979 V
Grav. cap. = 84.35566267582743 mAh/g
Vol. cap. = 273.2496615212838","['battery_type', 'thermo_type']",3.6386245625218163,3.239256888739441,211.98331665001731,325.7453733133605,0.0,0.0,0.029461006666667622,0.30645487714285746,FM,FiM,17.665276387501443,23.267526665240037
,mp-560562_Rb,,Rb0-3CrF6,Rb,2,1.1372419050000033,2022-06-28 03:50:00,Cr1 F6,CrF6,"[Element Cr, Element F]",2,Cr-F,AB6,['More than one working ion per transition metal'],CrF6,Rb3CrF6,0.6915600796251558,5.4294637375,190.35597153543924,684.1493808722865,1033.5308446682495,3714.564254479156,0.0,0.3,0.0,0.0,mp-1391848,mp-1113631,"Full Formula (Cr1 F6)
Reduced Formula: CrF6
abc   :   5.567079   5.567079   5.567079
angles:  57.634611  57.634611  57.634611
pbc   :       True       True       True
Sites (7)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cr    0         0         0               -0
  1  F     0.877128  0.215521  0.687888         0
  2  F     0.215521  0.687888  0.877128         0
  3  F     0.312112  0.122872  0.784479         0
  4  F     0.784479  0.312112  0.122872         0
  5  F     0.122872  0.784479  0.312112         0
  6  F     0.687888  0.877128  0.215521         0","[InsertionVoltagePairDoc(formula_charge='CrF6', formula_discharge='Rb2CrF6', max_delta_volume=0.442008334483065, average_voltage=5.808544372500001, capacity_grav=159.09600241742686, capacity_vol=535.0314805213155, energy_grav=924.1161895289913, energy_vol=3107.7540952924314, fracA_charge=0.0, fracA_discharge=0.2222222222222222, stability_charge=0.0, stability_discharge=0.02070929236111585, id_charge=MPID(mp-1391848), id_discharge=MPID(mp-560562)), InsertionVoltagePairDoc(formula_charge='Rb2CrF6', formula_discharge='Rb3CrF6', max_delta_volume=0.17305846240587153, average_voltage=4.671302467499998, capacity_grav=63.45199051181307, capacity_vol=228.0497936240955, energy_grav=296.40343984561883, energy_vol=1065.2895636691026, fracA_charge=0.2222222222222222, fracA_discharge=0.3, stability_charge=0.02070929236111585, stability_discharge=0.0, id_charge=MPID(mp-560562), id_discharge=MPID(mp-1113631))]","[MPID(mp-1391848), MPID(mp-560562), MPID(mp-1113631)]","all_formulas=['Rb2CrF6', 'Rb3CrF6', 'CrF6'] all_chemsys=['Cr-F-Rb', 'Cr-F'] all_formula_anonymous=['AB3C6', 'AB6', 'AB2C6'] all_elements=[Element Rb, Element Cr, Element F] all_composition_reduced={'Cr': [1.0], 'F': [6.0], 'Rb': [2.0, 3.0]}","InsertionElectrode with endpoints at CrF6 and Rb3CrF6
Avg. volt. = 5.4294637375 V
Grav. cap. = 190.35597153543924 mAh/g
Vol. cap. = 684.1493808722865","['battery_type', 'thermo_type']",3.1552656755250097,3.8275471379547423,87.35464078304243,183.2492029201786,2.0863000000000005,4.3963,0.0,0.0,NM,FM,12.479234397577489,18.324920292017858
,mp-30227_Rb,,Rb0-2WCl6,Rb,1,0.0,2022-06-28 03:50:00,W1 Cl6,WCl6,"[Element W, Element Cl]",2,Cl-W,AB6,['More than one working ion per transition metal'],WCl6,Rb2WCl6,0.17993030514836472,3.2042313124999984,94.45562432902817,329.8154004900386,302.65766911680873,1056.804833594909,0.0,0.2222222222222222,0.0,0.0,mp-571518,mp-30227,"Full Formula (W1 Cl6)
Reduced Formula: WCl6
abc   :   7.133110   7.133110   7.133110
angles:  55.318845  55.318845  55.318846
pbc   :       True       True       True
Sites (7)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  W     0         0         0                0
  1  Cl    0.643972  0.213366  0.920765        -0
  2  Cl    0.920765  0.643972  0.213366        -0
  3  Cl    0.213366  0.920765  0.643972        -0
  4  Cl    0.356028  0.786634  0.079235        -0
  5  Cl    0.079235  0.356028  0.786634        -0
  6  Cl    0.786634  0.079235  0.356028        -0","[InsertionVoltagePairDoc(formula_charge='WCl6', formula_discharge='Rb2WCl6', max_delta_volume=0.17993030514836472, average_voltage=3.2042313124999984, capacity_grav=94.45562432902817, capacity_vol=329.8154004900386, energy_grav=302.65766911680873, energy_vol=1056.804833594909, fracA_charge=0.0, fracA_discharge=0.2222222222222222, stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-571518), id_discharge=MPID(mp-30227))]","[MPID(mp-571518), MPID(mp-30227)]","all_formulas=['Rb2WCl6', 'WCl6'] all_chemsys=['Cl-Rb-W', 'Cl-W'] all_formula_anonymous=['AB6', 'AB2C6'] all_elements=[Element Rb, Element W, Element Cl] all_composition_reduced={'W': [1.0], 'Cl': [6.0], 'Rb': [2.0]}","InsertionElectrode with endpoints at WCl6 and Rb2WCl6
Avg. volt. = 3.2042313124999984 V
Grav. cap. = 94.45562432902817 mAh/g
Vol. cap. = 329.8154004900386","['battery_type', 'thermo_type']",3.448793954493857,3.7051212710843573,190.936327267311,254.33588374009756,1.9169,0.0,0.0,0.0,NM,FM,27.276618181044427,28.259542637788616
,mp-10810_Rb,,Rb0-2TiAgF6,Rb,1,0.0,2022-06-28 03:50:00,Ti1 Ag1 F6,TiAgF6,"[Element Ti, Element Ag, Element F]",3,Ag-F-Ti,ABC6,[],TiAgF6,Rb2TiAgF6,0.4448601496223952,3.3005823525,121.64211406676873,504.741219890696,401.4898150095689,1665.9399629505533,0.0,0.2,0.005325125625000204,0.19050464099999687,mp-10810,mp-1110599,"Full Formula (Ti1 Ag1 F6)
Reduced Formula: TiAgF6
abc   :   5.262920   5.457883   5.868659
angles:  94.081809 117.198846 118.695927
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ti    0         0.5       0.5          0.02
  1  Ag    0         0         0            0.588
  2  F     0.867863  0.70517   0.290931     0.011
  3  F     0.132137  0.29483   0.709069     0.011
  4  F     0.470444  0.859181  0.727376     0.09
  5  F     0.529556  0.140819  0.272624     0.09
  6  F     0.891932  0.617288  0.741204     0.084
  7  F     0.108068  0.382712  0.258796     0.084","[InsertionVoltagePairDoc(formula_charge='TiAgF6', formula_discharge='Rb2TiAgF6', max_delta_volume=0.4448601496223952, average_voltage=3.3005823525, capacity_grav=121.64211406676873, capacity_vol=504.741219890696, energy_grav=401.4898150095689, energy_vol=1665.9399629505533, fracA_charge=0.0, fracA_discharge=0.2, stability_charge=0.005325125625000204, stability_discharge=0.19050464099999687, id_charge=MPID(mp-10810), id_discharge=MPID(mp-1110599))]","[MPID(mp-10810), MPID(mp-1110599)]","all_formulas=['Rb2TiAgF6', 'TiAgF6'] all_chemsys=['Ag-F-Rb-Ti', 'Ag-F-Ti'] all_formula_anonymous=['ABC6', 'ABC2D6'] all_elements=[Element Rb, Element Ti, Element Ag, Element F] all_composition_reduced={'Ti': [1.0], 'Ag': [1.0], 'F': [6.0], 'Rb': [2.0]}","InsertionElectrode with endpoints at TiAgF6 and Rb2TiAgF6
Avg. volt. = 3.3005823525 V
Grav. cap. = 121.64211406676873 mAh/g
Vol. cap. = 504.741219890696","['battery_type', 'thermo_type']",4.087143253120143,4.149395327338839,109.5850818545579,176.34742218849388,0.1936,0.0,0.018491184687499995,0.19154280849999505,FM,FM,13.698135231819737,17.63474221884939
,mp-562140_Rb,,Rb0-3CoNCl4O3,Rb,1,0.0,2022-06-28 03:50:00,Co1 N1 Cl4 O3,CoNCl4O3,"[Element Co, Element N, Element Cl, Element O]",4,Cl-Co-N-O,ABC3D4,['More than one working ion per transition metal'],CoNCl4O3,Rb3CoNCl4O3,0.287168435335285,5.605087015833336,154.87605151553814,422.3230331125408,868.0937454132776,2367.1573493864544,0.0,0.25,0.25705353861111035,0.0,mp-772570,mp-562140,"Full Formula (Co4 N4 Cl16 O12)
Reduced Formula: CoNCl4O3
abc   :   8.948590   9.190837  11.945362
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (36)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Co    0.174824  0.75      0.595791     2.933
  1  Co    0.325176  0.25      0.095791     2.933
  2  Co    0.674824  0.75      0.904209     2.933
  3  Co    0.825176  0.25      0.404209     2.933
  4  N     0.158819  0.25      0.774059    -0.001
  5  N     0.341181  0.75      0.274059    -0.001
  6  N     0.658819  0.25      0.725941    -0.001
  7  N     0.841181  0.75      0.225941    -0.001
  8  Cl    0.026802  0.25      0.499159     0.375
  9  Cl    0.124677  0.75      0.769507     0.39
 10  Cl    0.196815  0.437294  0.055448     0.396
 11  Cl    0.196815  0.062706  0.055448     0.396
 12  Cl    0.303185  0.562706  0.555448     0.396
 13  Cl    0.303185  0.937294  0.555448     0.396
 14  Cl    0.375323  0.25      0.269507     0.39
 15  Cl    0.473198  0.75      0.999159     0.375
 16  Cl    0.526802  0.25      0.000841     0.375
 17  Cl    0.624677  0.75      0.730493     0.39
 18  Cl    0.696815  0.062706  0.444552     0.396
 19  Cl    0.696815  0.437294  0.444552     0.396
 20  Cl    0.803185  0.562706  0.944552     0.396
 21  Cl    0.803185  0.937294  0.944552     0.396
 22  Cl    0.875323  0.25      0.230493     0.39
 23  Cl    0.973198  0.75      0.500841     0.375
 24  O     0.093703  0.131699  0.792451     0.019
 25  O     0.093703  0.368301  0.792451     0.019
 26  O     0.209954  0.75      0.237411     0.029
 27  O     0.290046  0.25      0.737411     0.029
 28  O     0.406297  0.631699  0.292451     0.019
 29  O     0.406297  0.868301  0.292451     0.019
 30  O     0.593703  0.131699  0.707549     0.019
 31  O     0.593703  0.368301  0.707549     0.019
 32  O     0.709954  0.75      0.262589     0.029
 33  O     0.790046  0.25      0.762589     0.029
 34  O     0.906297  0.631699  0.207549     0.019
 35  O     0.906297  0.868301  0.207549     0.019","[InsertionVoltagePairDoc(formula_charge='CoNCl4O3', formula_discharge='Rb3CoNCl4O3', max_delta_volume=0.287168435335285, average_voltage=5.605087015833336, capacity_grav=154.87605151553814, capacity_vol=422.3230331125408, energy_grav=868.0937454132776, energy_vol=2367.1573493864544, fracA_charge=0.0, fracA_discharge=0.25, stability_charge=0.25705353861111035, stability_discharge=0.0, id_charge=MPID(mp-772570), id_discharge=MPID(mp-562140))]","[MPID(mp-772570), MPID(mp-562140)]","all_formulas=['CoNCl4O3', 'Rb3CoNCl4O3'] all_chemsys=['Cl-Co-N-O-Rb', 'Cl-Co-N-O'] all_formula_anonymous=['ABC3D4', 'ABC3D3E4'] all_elements=[Element Rb, Element Co, Element N, Element Cl, Element O] all_composition_reduced={'Co': [1.0], 'N': [1.0], 'Cl': [4.0], 'O': [3.0], 'Rb': [3.0]}","InsertionElectrode with endpoints at CoNCl4O3 and Rb3CoNCl4O3
Avg. volt. = 5.605087015833336 V
Grav. cap. = 154.87605151553814 mAh/g
Vol. cap. = 422.3230331125408","['battery_type', 'thermo_type']",1.7764090653992886,2.7268452987660576,982.4466807757284,1264.5743568944386,0.0,2.7376,0.2572519047222217,0.0,FM,FM,27.290185577103568,26.34529910196747
,mp-28344_Rb,,Rb0-1Zr6CI14,Rb,1,0.0,2022-06-28 03:50:00,Zr6 C1 I14,Zr6CI14,"[Element Zr, Element C, Element I]",3,C-I-Zr,AB6C14,[],Zr6CI14,RbZr6CI14,0.012121031796047621,1.6538982425000122,11.068199992941475,56.53124963920218,18.305676515964553,93.49693442460593,0.0,0.045454545454545456,0.0,0.0,mp-28344,mp-1209204,"Full Formula (Zr12 C2 I28)
Reduced Formula: Zr6CI14
abc   :  11.019131  11.019131  13.142053
angles:  90.000000  90.000000  92.950752
pbc   :       True       True       True
Sites (42)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zr    0.626652  0.626652  0.092419        -0
  1  Zr    0.873348  0.873348  0.592419        -0
  2  Zr    0.126652  0.126652  0.407581        -0
  3  Zr    0.373348  0.373348  0.907581        -0
  4  Zr    0.453592  0.665016  0.891426        -0
  5  Zr    0.046408  0.834984  0.391426        -0
  6  Zr    0.165016  0.953592  0.608574        -0
  7  Zr    0.334984  0.546408  0.108574        -0
  8  Zr    0.546408  0.334984  0.108574        -0
  9  Zr    0.953592  0.165016  0.608574        -0
 10  Zr    0.834984  0.046408  0.391426        -0
 11  Zr    0.665016  0.453592  0.891426        -0
 12  C     0.5       0.5       0               -0
 13  C     0         0         0.5             -0
 14  I     0.106366  0.354534  0.511043         0
 15  I     0.393634  0.145466  0.011043         0
 16  I     0.107469  0.607469  0.25             0
 17  I     0.392531  0.892531  0.75             0
 18  I     0.892531  0.392531  0.75             0
 19  I     0.607469  0.107469  0.25             0
 20  I     0.143547  0.143547  0.761537         0
 21  I     0.356453  0.356453  0.261537         0
 22  I     0.643547  0.643547  0.738463         0
 23  I     0.856453  0.856453  0.238463         0
 24  I     0.751481  0.248519  0                0
 25  I     0.748519  0.251481  0.5              0
 26  I     0.248519  0.751481  0                0
 27  I     0.251481  0.748519  0.5              0
 28  I     0.645466  0.893634  0.488957         0
 29  I     0.854534  0.606366  0.988957         0
 30  I     0.606366  0.854534  0.988957         0
 31  I     0.893634  0.645466  0.488957         0
 32  I     0.354534  0.106366  0.511043         0
 33  I     0.145466  0.393634  0.011043         0
 34  I     0.212884  0.966236  0.254762         0
 35  I     0.287116  0.533764  0.754762         0
 36  I     0.466236  0.712884  0.245238         0
 37  I     0.033764  0.787116  0.745238         0
 38  I     0.787116  0.033764  0.745238         0
 39  I     0.712884  0.466236  0.245238         0
 40  I     0.533764  0.287116  0.754762         0
 41  I     0.966236  0.212884  0.254762         0","[InsertionVoltagePairDoc(formula_charge='Zr6CI14', formula_discharge='RbZr6CI14', max_delta_volume=0.012121031796047621, average_voltage=1.6538982425000122, capacity_grav=11.068199992941475, capacity_vol=56.53124963920218, energy_grav=18.305676515964553, energy_vol=93.49693442460593, fracA_charge=0.0, fracA_discharge=0.045454545454545456, stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-28344), id_discharge=MPID(mp-1209204))]","[MPID(mp-28344), MPID(mp-1209204)]","all_formulas=['RbZr6CI14', 'Zr6CI14'] all_chemsys=['C-I-Zr', 'C-I-Rb-Zr'] all_formula_anonymous=['AB6C14', 'ABC6D14'] all_elements=[Element Rb, Element Zr, Element C, Element I] all_composition_reduced={'Zr': [6.0], 'C': [1.0], 'I': [14.0], 'Rb': [1.0]}","InsertionElectrode with endpoints at Zr6CI14 and RbZr6CI14
Avg. volt. = 1.6538982425000122 V
Grav. cap. = 11.068199992941475 mAh/g
Vol. cap. = 56.53124963920218","['battery_type', 'thermo_type']",5.043396115340444,5.107537779920662,1538.2682085564572,1574.5240653282005,0.7934999999999999,0.0,0.0,0.0,NM,NM,36.625433537058505,35.78463784836819
,mp-28818_Rb,,Rb0.75-1Cr5Se8,Rb,1,0.0,2022-06-28 03:50:00,Cr5 Se8,Cr5Se8,"[Element Cr, Element Se]",2,Cr-Se,A5B8,[],Rb3(Cr5Se8)4,RbCr5Se8,0.011400445533311654,1.7014684574999772,6.857206250541482,35.66463725439179,11.667320141868018,60.682255336526225,0.05454545454545454,0.07142857142857142,0.0,0.0,mp-1220065,mp-28818,"Full Formula (Cr20 Se32)
Reduced Formula: Cr5Se8
abc   :  10.965164  11.576181  11.731586
angles: 111.150822  81.575338 117.300545
pbc   :       True       True       True
Sites (52)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cr    0.793745  0.609328  0.129278     2.946
  1  Cr    0.042885  0.858881  0.378633     2.931
  2  Cr    0.292103  0.10732   0.627232     2.942
  3  Cr    0.543152  0.358451  0.878142     2.952
  4  Cr    0.957115  0.141119  0.621367     2.931
  5  Cr    0.206255  0.390672  0.870722     2.946
  6  Cr    0.456848  0.641549  0.121858     2.952
  7  Cr    0.707897  0.89268   0.372768     2.942
  8  Cr    0.374241  0.874535  0.375788     2.943
  9  Cr    0.625759  0.125465  0.624212     2.943
 10  Cr    0.875567  0.375311  0.874256     2.941
 11  Cr    0.124433  0.624689  0.125744     2.941
 12  Cr    0.412548  0.322383  0.486215     2.974
 13  Cr    0.662506  0.571135  0.735649     2.972
 14  Cr    0.911192  0.820666  0.985153     2.978
 15  Cr    0.161744  0.071013  0.235792     2.975
 16  Cr    0.337494  0.428865  0.264351     2.972
 17  Cr    0.587452  0.677617  0.513785     2.974
 18  Cr    0.838256  0.928987  0.764208     2.975
 19  Cr    0.088808  0.179334  0.014847     2.978
 20  Se    0.343856  0.500463  0.491714    -0.151
 21  Se    0.593803  0.750849  0.741815    -0.145
 22  Se    0.844264  0.001522  0.992325    -0.145
 23  Se    0.094493  0.250585  0.242016    -0.15
 24  Se    0.406197  0.249151  0.258185    -0.145
 25  Se    0.656144  0.499537  0.508286    -0.151
 26  Se    0.905507  0.749415  0.757984    -0.15
 27  Se    0.155736  0.998478  0.007675    -0.145
 28  Se    0.068374  0.392837  0.723371    -0.126
 29  Se    0.318629  0.644289  0.973598    -0.12
 30  Se    0.57009   0.89566   0.224867    -0.121
 31  Se    0.820478  0.144947  0.475418    -0.128
 32  Se    0.681371  0.355711  0.026402    -0.12
 33  Se    0.931626  0.607163  0.276629    -0.126
 34  Se    0.179522  0.855053  0.524582    -0.128
 35  Se    0.42991   0.10434   0.775133    -0.121
 36  Se    0.265531  0.61614   0.271818    -0.122
 37  Se    0.515495  0.866373  0.521869    -0.113
 38  Se    0.765577  0.116251  0.771756    -0.11
 39  Se    0.015882  0.366311  0.021578    -0.113
 40  Se    0.484505  0.133627  0.478131    -0.113
 41  Se    0.734469  0.38386   0.728182    -0.122
 42  Se    0.984118  0.633689  0.978422    -0.113
 43  Se    0.234423  0.883749  0.228244    -0.11
 44  Se    0.595322  0.618134  0.273817    -0.087
 45  Se    0.845478  0.867537  0.523795    -0.087
 46  Se    0.095587  0.117572  0.773581    -0.087
 47  Se    0.345695  0.368289  0.024099    -0.085
 48  Se    0.154522  0.132463  0.476205    -0.087
 49  Se    0.404678  0.381866  0.726183    -0.087
 50  Se    0.654305  0.631711  0.975901    -0.085
 51  Se    0.904413  0.882428  0.226419    -0.087","[InsertionVoltagePairDoc(formula_charge='Rb3(Cr5Se8)4', formula_discharge='RbCr5Se8', max_delta_volume=0.011400445533311654, average_voltage=1.7014684574999772, capacity_grav=6.857206250541482, capacity_vol=35.66463725439179, energy_grav=11.667320141868018, energy_vol=60.682255336526225, fracA_charge=0.05454545454545454, fracA_discharge=0.07142857142857142, stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-1220065), id_discharge=MPID(mp-28818))]","[MPID(mp-1220065), MPID(mp-28818)]","all_formulas=['Rb3(Cr5Se8)4', 'RbCr5Se8'] all_chemsys=['Cr-Rb-Se'] all_formula_anonymous=['AB5C8', 'A3B20C32'] all_elements=[Element Rb, Element Cr, Element Se] all_composition_reduced={'Rb': [1.0, 3.0], 'Cr': [20.0, 5.0], 'Se': [32.0, 8.0]}","InsertionElectrode with endpoints at Rb3(Cr5Se8)4 and RbCr5Se8
Avg. volt. = 1.7014684574999772 V
Grav. cap. = 6.857206250541482 mAh/g
Vol. cap. = 35.66463725439179","['battery_type', 'thermo_type']",5.145310781974185,5.2538915663366,1233.8061798571593,308.8300728600329,0.0,0.015200000000000102,0.0,0.0,FM,FM,22.432839633766534,22.059290918573776
,mp-560878_Rb,,Rb2-3CoF6,Rb,1,0.0,2022-06-28 03:50:00,Co1 F6,CoF6,"[Element Co, Element F]",2,Co-F,AB6,['More than one working ion per transition metal'],Rb2CoF6,Rb3CoF6,0.16374611899260016,4.388399527500005,62.4267289476421,230.17713859464442,273.9534278172035,1010.1092462500408,0.2222222222222222,0.3,0.0,0.0,mp-560878,mp-1113630,"Full Formula (Co1 F6)
Reduced Formula: CoF6
abc   :   6.170696   6.170696   6.170696
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (7)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Co    0         0         0            3.457
  1  F     0.785699  0.785699  0.214301     0.229
  2  F     0.785699  0.214301  0.785699     0.229
  3  F     0.214301  0.785699  0.214301     0.229
  4  F     0.214301  0.214301  0.785699     0.229
  5  F     0.214301  0.785699  0.785699     0.229
  6  F     0.785699  0.214301  0.214301     0.229","[InsertionVoltagePairDoc(formula_charge='Rb2CoF6', formula_discharge='Rb3CoF6', max_delta_volume=0.16374611899260016, average_voltage=4.388399527500005, capacity_grav=62.4267289476421, capacity_vol=230.17713859464442, energy_grav=273.9534278172035, energy_vol=1010.1092462500408, fracA_charge=0.2222222222222222, fracA_discharge=0.3, stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-560878), id_discharge=MPID(mp-1113630))]","[MPID(mp-560878), MPID(mp-1113630)]","all_formulas=['Rb3CoF6', 'Rb2CoF6'] all_chemsys=['Co-F-Rb'] all_formula_anonymous=['AB3C6', 'AB2C6'] all_elements=[Element Rb, Element Co, Element F] all_composition_reduced={'Rb': [2.0, 3.0], 'Co': [1.0], 'F': [6.0]}","InsertionElectrode with endpoints at Rb2CoF6 and Rb3CoF6
Avg. volt. = 4.388399527500005 V
Grav. cap. = 62.4267289476421 mAh/g
Vol. cap. = 230.17713859464442","['battery_type', 'thermo_type']",3.86077140673197,4.092695456128568,147.89574373500793,174.1918711196276,1.179,2.9106,0.0,0.0,FM,NM,16.43286041500088,17.41918711196276
,mp-102_Rb,,Rb0-3Co,Rb,1,0.0,2022-06-28 03:50:00,Co1,Co,[Element Co],1,Co,A,['More than one working ion per transition metal'],Co,Rb3Co,17.420444810766575,-1.1292822591666667,254.9797413652281,664.1584600898982,-287.9440983706572,-750.0223662549747,0.0,0.75,0.016113994999999548,0.8509901931249999,mp-102,mp-975050,"Full Formula (Co1)
Reduced Formula: Co
abc   :   2.489760   2.489760   2.489760
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (1)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Co      0    0    0      1.64","[InsertionVoltagePairDoc(formula_charge='Co', formula_discharge='Rb3Co', max_delta_volume=17.420444810766575, average_voltage=-1.1292822591666667, capacity_grav=254.9797413652281, capacity_vol=664.1584600898982, energy_grav=-287.9440983706572, energy_vol=-750.0223662549747, fracA_charge=0.0, fracA_discharge=0.75, stability_charge=0.016113994999999548, stability_discharge=0.8509901931249999, id_charge=MPID(mp-102), id_discharge=MPID(mp-975050))]","[MPID(mp-102), MPID(mp-975050)]","all_formulas=['Co', 'Rb3Co'] all_chemsys=['Co', 'Co-Rb'] all_formula_anonymous=['A', 'AB3'] all_elements=[Element Rb, Element Co] all_composition_reduced={'Co': [1.0], 'Rb': [3.0]}","InsertionElectrode with endpoints at Co and Rb3Co
Avg. volt. = -1.1292822591666667 V
Grav. cap. = 254.9797413652281 mAh/g
Vol. cap. = 664.1584600898982","['battery_type', 'thermo_type']",9.026471225712273,2.604749915833711,10.841542632772713,201.02841042170553,0.0,0.0,0.0,0.8572649243749999,FM,FM,10.841542632772713,50.25710260542638
,mp-21855_Rb,,Rb0-1VCu3Se4,Rb,1,0.0,2022-06-28 03:50:00,V1 Cu3 Se4,VCu3Se4,"[Element V, Element Cu, Element Se]",3,Cu-Se-V,AB3C4,[],VCu3Se4,RbVCu3Se4,0.2950368218026913,0.004911507500003909,41.689237204349645,190.48286528175575,0.20475700119860527,0.9355580214535776,0.0,0.1111111111111111,0.0,0.13520201749999927,mp-21855,mp-1179694,"Full Formula (V1 Cu3 Se4)
Reduced Formula: VCu3Se4
abc   :   5.650540   5.650540   5.650540
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP          a        b        c    magmom
---  ----  -------  -------  -------  --------
  0  V     0        0        0           0.001
  1  Cu    0        0.5      0          -0
  2  Cu    0        0        0.5        -0
  3  Cu    0.5      0        0          -0
  4  Se    0.24202  0.24202  0.24202    -0
  5  Se    0.75798  0.75798  0.24202    -0
  6  Se    0.24202  0.75798  0.75798    -0
  7  Se    0.75798  0.24202  0.75798    -0","[InsertionVoltagePairDoc(formula_charge='VCu3Se4', formula_discharge='RbVCu3Se4', max_delta_volume=0.2950368218026913, average_voltage=0.004911507500003909, capacity_grav=41.689237204349645, capacity_vol=190.48286528175575, energy_grav=0.20475700119860527, energy_vol=0.9355580214535776, fracA_charge=0.0, fracA_discharge=0.1111111111111111, stability_charge=0.0, stability_discharge=0.13520201749999927, id_charge=MPID(mp-21855), id_discharge=MPID(mp-1179694))]","[MPID(mp-21855), MPID(mp-1179694)]","all_formulas=['RbVCu3Se4', 'VCu3Se4'] all_chemsys=['Cu-Rb-Se-V', 'Cu-Se-V'] all_formula_anonymous=['AB3C4', 'ABC3D4'] all_elements=[Element Rb, Element V, Element Cu, Element Se] all_composition_reduced={'V': [1.0], 'Cu': [3.0], 'Se': [4.0], 'Rb': [1.0]}","InsertionElectrode with endpoints at VCu3Se4 and RbVCu3Se4
Avg. volt. = 0.004911507500003909 V
Grav. cap. = 41.689237204349645 mAh/g
Vol. cap. = 190.48286528175575","['battery_type', 'thermo_type']",5.341420812523915,4.56911370870693,173.29038260089234,233.64257165162786,0.8164000000000002,0.2951999999999999,0.0,0.13520225394444285,NM,FM,21.661297825111543,25.96028573906976
